48029 getPopulationofCountry Seychelles Zone:1 (turnaround time: 127 ms, execution time: 33 ms, waiting time: 94, processed by server 1)
189578 getPopulationofCountry French Guiana Zone:4 (turnaround time: 157 ms, execution time: 61 ms, waiting time: 96, processed by server 4)
447039 getPopulationofCountry Equatorial Guinea Zone:2 (turnaround time: 156 ms, execution time: 60 ms, waiting time: 96, processed by server 2)
31048782 getPopulationofCountry Canada Zone:1 (turnaround time: 189 ms, execution time: 95 ms, waiting time: 94, processed by server 1)
447039 getPopulationofCountry Equatorial Guinea Zone:2 (turnaround time: 218 ms, execution time: 124 ms, waiting time: 94, processed by server 2)
1070 getPopulationofCountry Tokelau Zone:4 (turnaround time: 186 ms, execution time: 91 ms, waiting time: 95, processed by server 4)
276340 getPopulationofCountry Swaziland Zone:1 (turnaround time: 155 ms, execution time: 60 ms, waiting time: 95, processed by server 1)
30376 getPopulationofCountry Palau Zone:4 (turnaround time: 154 ms, execution time: 62 ms, waiting time: 92, processed by server 4)
276340 getPopulationofCountry Swaziland Zone:1 (turnaround time: 218 ms, execution time: 124 ms, waiting time: 94, processed by server 1)
276340 getPopulationofCountry Swaziland Zone:1 (turnaround time: 278 ms, execution time: 185 ms, waiting time: 93, processed by server 1)
3628180 getPopulationofCountry Uganda Zone:4 (turnaround time: 216 ms, execution time: 123 ms, waiting time: 93, processed by server 4)
7515477 getPopulationofCountry Kenya Zone:2 (turnaround time: 155 ms, execution time: 63 ms, waiting time: 92, processed by server 2)
6275101 getPopulationofCountry Guatemala Zone:3 (turnaround time: 186 ms, execution time: 89 ms, waiting time: 97, processed by server 3)
3628180 getPopulationofCountry Uganda Zone:4 (turnaround time: 280 ms, execution time: 186 ms, waiting time: 94, processed by server 4)
1680347 getPopulationofCountry Chad Zone:4 (turnaround time: 311 ms, execution time: 219 ms, waiting time: 92, processed by server 4)
6275101 getPopulationofCountry Guatemala Zone:2 (turnaround time: 124 ms, execution time: 31 ms, waiting time: 93, processed by server 2)
233433 getPopulationofCountry Bhutan Zone:1 (turnaround time: 156 ms, execution time: 62 ms, waiting time: 94, processed by server 1)
31572564 getPopulationofCountry Ukraine Zone:4 (turnaround time: 342 ms, execution time: 249 ms, waiting time: 93, processed by server 4)
6275101 getPopulationofCountry Guatemala Zone:2 (turnaround time: 185 ms, execution time: 93 ms, waiting time: 92, processed by server 2)
31572564 getPopulationofCountry Ukraine Zone:4 (turnaround time: 405 ms, execution time: 312 ms, waiting time: 93, processed by server 4)
130745096 getPopulationofCountry Brazil Zone:3 (turnaround time: 122 ms, execution time: 31 ms, waiting time: 91, processed by server 3)
3226299 getPopulationofCountry Honduras Zone:2 (turnaround time: 216 ms, execution time: 122 ms, waiting time: 94, processed by server 2)
31572564 getPopulationofCountry Ukraine Zone:4 (turnaround time: 466 ms, execution time: 371 ms, waiting time: 95, processed by server 4)
1873246 getPopulationofCountry Tajikistan Zone:3 (turnaround time: 124 ms, execution time: 31 ms, waiting time: 93, processed by server 3)
3226299 getPopulationofCountry Honduras Zone:2 (turnaround time: 278 ms, execution time: 184 ms, waiting time: 94, processed by server 2)
31572564 getPopulationofCountry Ukraine Zone:4 (turnaround time: 528 ms, execution time: 435 ms, waiting time: 93, processed by server 4)
20667549 getPopulationofCountry Peru Zone:5 (turnaround time: 186 ms, execution time: 90 ms, waiting time: 96, processed by server 5)
3226299 getPopulationofCountry Honduras Zone:2 (turnaround time: 338 ms, execution time: 246 ms, waiting time: 92, processed by server 2)
3982679 getPopulationofCountry Paraguay Zone:4 (turnaround time: 588 ms, execution time: 494 ms, waiting time: 94, processed by server 4)
20667549 getPopulationofCountry Peru Zone:5 (turnaround time: 247 ms, execution time: 155 ms, waiting time: 92, processed by server 5)
1070 getPopulationofCountry Tokelau Zone:4 (turnaround time: 649 ms, execution time: 555 ms, waiting time: 94, processed by server 4)
1565638 getPopulationofCountry Togo Zone:5 (turnaround time: 247 ms, execution time: 154 ms, waiting time: 93, processed by server 5)
20667549 getPopulationofCountry Peru Zone:2 (turnaround time: 216 ms, execution time: 123 ms, waiting time: 93, processed by server 2)
361020 getPopulationofCountry Comoros Zone:4 (turnaround time: 618 ms, execution time: 523 ms, waiting time: 95, processed by server 4)
374575 getPopulationofCountry Guadeloupe Zone:3 (turnaround time: 124 ms, execution time: 32 ms, waiting time: 92, processed by server 3)
374575 getPopulationofCountry Guadeloupe Zone:5 (turnaround time: 154 ms, execution time: 63 ms, waiting time: 91, processed by server 5)
20667549 getPopulationofCountry Peru Zone:2 (turnaround time: 279 ms, execution time: 187 ms, waiting time: 92, processed by server 2)
95951597 getPopulationofCountry Japan Zone:3 (turnaround time: 124 ms, execution time: 31 ms, waiting time: 93, processed by server 3)
